X,Y,Theta
-3.0,0.0,0.0
-2.997999333111037,0.0,0.0
-2.995998666222074,0.0,0.0
-2.993997999333111,0.0,0.0
-2.9919973324441482,0.0,0.0
-2.989996665555185,0.0,0.0
-2.987995998666222,0.0,0.0
-2.985995331777259,0.0,0.0
-2.983994664888296,0.0,0.0
-2.981993997999333,0.0,0.0
-2.97999333111037,0.0,0.0
-2.977992664221407,0.0,0.0
-2.9759919973324442,0.0,0.0
-2.9739913304434813,0.0,0.0
-2.9719906635545184,0.0,0.0
-2.969989996665555,0.0,0.0
-2.967989329776592,0.0,0.0
-2.965988662887629,0.0,0.0
-2.963987995998666,0.0,0.0
-2.961987329109703,0.0,0.0
-2.9599866622207403,0.0,0.0
-2.9579859953317773,0.0,0.0
-2.9559853284428144,0.0,0.0
-2.9539846615538514,0.0,0.0
-2.9519839946648885,0.0,0.0
-2.949983327775925,0.0,0.0
-2.947982660886962,0.0,0.0
-2.945981993997999,0.0,0.0
-2.9439813271090363,0.0,0.0
-2.9419806602200733,0.0,0.0
-2.9399799933311104,0.0,0.0
-2.9379793264421474,0.0,0.0
-2.9359786595531845,0.0,0.0
-2.9339779926642215,0.0,0.0
-2.9319773257752586,0.0,0.0
-2.929976658886295,0.0,0.0
-2.9279759919973323,0.0,0.0
-2.9259753251083693,0.0,0.0
-2.9239746582194064,0.0,0.0
-2.9219739913304434,0.0,0.0
-2.9199733244414805,0.0,0.0
-2.9179726575525176,0.0,0.0
-2.9159719906635546,0.0,0.0
-2.9139713237745917,0.0,0.0
-2.9119706568856287,0.0,0.0
-2.9099699899966653,0.0,0.0
-2.9079693231077024,0.0,0.0
-2.9059686562187395,0.0,0.0
-2.9039679893297765,0.0,0.0
-2.9019673224408136,0.0,0.0
-2.8999666555518506,0.0,0.0
-2.8979659886628877,0.0,0.0
-2.8959653217739247,0.0,0.0
-2.893964654884962,0.0,0.0
-2.891963987995999,0.0,0.0
-2.8899633211070355,0.0,0.0
-2.8879626542180725,0.0,0.0
-2.8859619873291096,0.0,0.0
-2.8839613204401466,0.0,0.0
-2.8819606535511837,0.0,0.0
-2.8799599866622208,0.0,0.0
-2.877959319773258,0.0,0.0
-2.875958652884295,0.0,0.0
-2.873957985995332,0.0,0.0
-2.871957319106369,0.0,0.0
-2.8699566522174056,0.0,0.0
-2.8679559853284426,0.0,0.0
-2.8659553184394797,0.0,0.0
-2.8639546515505168,0.0,0.0
-2.861953984661554,0.0,0.0
-2.859953317772591,0.0,0.0
-2.857952650883628,0.0,0.0
-2.855951983994665,0.0,0.0
-2.853951317105702,0.0,0.0
-2.851950650216739,0.0,0.0
-2.8499499833277757,0.0,0.0
-2.8479493164388128,0.0,0.0
-2.84594864954985,0.0,0.0
-2.843947982660887,0.0,0.0
-2.841947315771924,0.0,0.0
-2.839946648882961,0.0,0.0
-2.837945981993998,0.0,0.0
-2.835945315105035,0.0,0.0
-2.833944648216072,0.0,0.0
-2.8319439813271092,0.0,0.0
-2.829943314438146,0.0,0.0
-2.827942647549183,0.0,0.0
-2.82594198066022,0.0,0.0
-2.823941313771257,0.0,0.0
-2.821940646882294,0.0,0.0
-2.819939979993331,0.0,0.0
-2.817939313104368,0.0,0.0
-2.8159386462154052,0.0,0.0
-2.8139379793264423,0.0,0.0
-2.8119373124374794,0.0,0.0
-2.809936645548516,0.0,0.0
-2.807935978659553,0.0,0.0
-2.80593531177059,0.0,0.0
-2.803934644881627,0.0,0.0
-2.801933977992664,0.0,0.0
-2.7999333111037013,0.0,0.0
-2.7979326442147383,0.0,0.0
-2.7959319773257754,0.0,0.0
-2.7939313104368124,0.0,0.0
-2.7919306435478495,0.0,0.0
-2.789929976658886,0.0,0.0
-2.787929309769923,0.0,0.0
-2.78592864288096,0.0,0.0
-2.7839279759919973,0.0,0.0
-2.7819273091030343,0.0,0.0
-2.7799266422140714,0.0,0.0
-2.7779259753251084,0.0,0.0
-2.7759253084361455,0.0,0.0
-2.7739246415471825,0.0,0.0
-2.7719239746582196,0.0,0.0
-2.769923307769256,0.0,0.0
-2.7679226408802933,0.0,0.0
-2.7659219739913303,0.0,0.0
-2.7639213071023674,0.0,0.0
-2.7619206402134044,0.0,0.0
-2.7599199733244415,0.0,0.0
-2.7579193064354786,0.0,0.0
-2.7559186395465156,0.0,0.0
-2.7539179726575527,0.0,0.0
-2.7519173057685897,0.0,0.0
-2.7499166388796263,0.0,0.0
-2.7479159719906634,0.0,0.0
-2.7459153051017005,0.0,0.0
-2.7439146382127375,0.0,0.0
-2.7419139713237746,0.0,0.0
-2.7399133044348116,0.0,0.0
-2.7379126375458487,0.0,0.0
-2.7359119706568857,0.0,0.0
-2.733911303767923,0.0,0.0
-2.7319106368789594,0.0,0.0
-2.7299099699899965,0.0,0.0
-2.7279093031010335,0.0,0.0
-2.7259086362120706,0.0,0.0
-2.7239079693231076,0.0,0.0
-2.7219073024341447,0.0,0.0
-2.7199066355451818,0.0,0.0
-2.717905968656219,0.0,0.0
-2.715905301767256,0.0,0.0
-2.713904634878293,0.0,0.0
-2.71190396798933,0.0,0.0
-2.7099033011003666,0.0,0.0
-2.7079026342114036,0.0,0.0
-2.7059019673224407,0.0,0.0
-2.7039013004334778,0.0,0.0
-2.701900633544515,0.0,0.0
-2.699899966655552,0.0,0.0
-2.697899299766589,0.0,0.0
-2.695898632877626,0.0,0.0
-2.693897965988663,0.0,0.0
-2.6918972990996997,0.0,0.0
-2.6898966322107367,0.0,0.0
-2.6878959653217738,0.0,0.0
-2.685895298432811,0.0,0.0
-2.683894631543848,0.0,0.0
-2.681893964654885,0.0,0.0
-2.679893297765922,0.0,0.0
-2.677892630876959,0.0,0.0
-2.675891963987996,0.0,0.0
-2.673891297099033,0.0,0.0
-2.6718906302100702,0.0,0.0
-2.669889963321107,0.0,0.0
-2.667889296432144,0.0,0.0
-2.665888629543181,0.0,0.0
-2.663887962654218,0.0,0.0
-2.661887295765255,0.0,0.0
-2.659886628876292,0.0,0.0
-2.657885961987329,0.0,0.0
-2.6558852950983662,0.0,0.0
-2.6538846282094033,0.0,0.0
-2.65188396132044,0.0,0.0
-2.649883294431477,0.0,0.0
-2.647882627542514,0.0,0.0
-2.645881960653551,0.0,0.0
-2.643881293764588,0.0,0.0
-2.641880626875625,0.0,0.0
-2.6398799599866623,0.0,0.0
-2.6378792930976993,0.0,0.0
-2.6358786262087364,0.0,0.0
-2.6338779593197734,0.0,0.0
-2.6318772924308105,0.0,0.0
-2.629876625541847,0.0,0.0
-2.627875958652884,0.0,0.0
-2.625875291763921,0.0,0.0
-2.6238746248749583,0.0,0.0
-2.6218739579859953,0.0,0.0
-2.6198732910970324,0.0,0.0
-2.6178726242080694,0.0,0.0
-2.6158719573191065,0.0,0.0
-2.6138712904301435,0.0,0.0
-2.61187062354118,0.0,0.0
-2.609869956652217,0.0,0.0
-2.6078692897632543,0.0,0.0
-2.6058686228742913,0.0,0.0
-2.6038679559853284,0.0,0.0
-2.6018672890963654,0.0,0.0
-2.5998666222074025,0.0,0.0
-2.5978659553184396,0.0,0.0
-2.5958652884294766,0.0,0.0
-2.5938646215405137,0.0,0.0
-2.5918639546515507,0.0,0.0
-2.5898632877625873,0.0,0.0
-2.5878626208736244,0.0,0.0
-2.5858619539846615,0.0,0.0
-2.5838612870956985,0.0,0.0
-2.5818606202067356,0.0,0.0
-2.5798599533177726,0.0,0.0
-2.5778592864288097,0.0,0.0
-2.5758586195398467,0.0,0.0
-2.573857952650884,0.0,0.0
-2.5718572857619204,0.0,0.0
-2.5698566188729575,0.0,0.0
-2.5678559519839945,0.0,0.0
-2.5658552850950316,0.0,0.0
-2.5638546182060686,0.0,0.0
-2.5618539513171057,0.0,0.0
-2.5598532844281428,0.0,0.0
-2.55785261753918,0.0,0.0
-2.555851950650217,0.0,0.0
-2.553851283761254,0.0,0.0
-2.551850616872291,0.0,0.0
-2.5498499499833276,0.0,0.0
-2.5478492830943646,0.0,0.0
-2.5458486162054017,0.0,0.0
-2.5438479493164388,0.0,0.0
-2.541847282427476,0.0,0.0
-2.539846615538513,0.0,0.0
-2.53784594864955,0.0,0.0
-2.535845281760587,0.0,0.0
-2.533844614871624,0.0,0.0
-2.5318439479826607,0.0,0.0
