X,Y,Theta
2.0,2.0,0.0
2.0,2.0,0.006285280400646468
2.0,2.0,0.012570560801292936
2.0,2.0,0.018855841201939404
2.0,2.0,0.025141121602585872
2.0,2.0,0.03142640200323234
2.0,2.0,0.03771168240387881
2.0,2.0,0.04399696280452528
2.0,2.0,0.050282243205171745
2.0,2.0,0.05656752360581821
2.0,2.0,0.06285280400646467
2.0,2.0,0.06913808440711115
2.0,2.0,0.07542336480775762
2.0,2.0,0.08170864520840408
2.0,2.0,0.08799392560905056
2.0,2.0,0.09427920600969703
2.0,2.0,0.10056448641034349
2.0,2.0,0.10684976681098995
2.0,2.0,0.11313504721163642
2.0,2.0,0.1194203276122829
2.0,2.0,0.12570560801292935
2.0,2.0,0.13199088841357584
2.0,2.0,0.1382761688142223
2.0,2.0,0.14456144921486877
2.0,2.0,0.15084672961551523
2.0,2.0,0.1571320100161617
2.0,2.0,0.16341729041680816
2.0,2.0,0.16970257081745463
2.0,2.0,0.17598785121810112
2.0,2.0,0.18227313161874759
2.0,2.0,0.18855841201939405
2.0,2.0,0.19484369242004052
2.0,2.0,0.20112897282068698
2.0,2.0,0.20741425322133344
2.0,2.0,0.2136995336219799
2.0,2.0,0.21998481402262637
2.0,2.0,0.22627009442327284
2.0,2.0,0.23255537482391933
2.0,2.0,0.2388406552245658
2.0,2.0,0.24512593562521226
2.0,2.0,0.2514112160258587
2.0,2.0,0.2576964964265052
2.0,2.0,0.2639817768271517
2.0,2.0,0.27026705722779815
2.0,2.0,0.2765523376284446
2.0,2.0,0.2828376180290911
2.0,2.0,0.28912289842973754
2.0,2.0,0.295408178830384
2.0,2.0,0.30169345923103047
2.0,2.0,0.30797873963167693
2.0,2.0,0.3142640200323234
2.0,2.0,0.32054930043296986
2.0,2.0,0.32683458083361633
2.0,2.0,0.3331198612342628
2.0,2.0,0.33940514163490926
2.0,2.0,0.3456904220355557
2.0,2.0,0.35197570243620224
2.0,2.0,0.3582609828368487
2.0,2.0,0.36454626323749517
2.0,2.0,0.37083154363814164
2.0,2.0,0.3771168240387881
2.0,2.0,0.38340210443943457
2.0,2.0,0.38968738484008103
